log,encoding,accuracy,accuracy_balanced,f1_binary,f1_micro,f1_macro,f1_weighted,precision_binary,precision_micro,precision_macro,precision_weighted,recall_binary,recall_micro,recall_macro,recall_weighted,time,mem_rf,mem_encoding,mem_labels,mem_total
scenario3_1000_early_0.05,onehot,0.9488333333333333,0.4995636998254799,0.9736973577435599,0.9488333333333333,0.48684867887177996,0.9247724177313965,0.9496282051282051,0.9488333333333333,0.47481410256410256,0.9019949358974361,0.9991273996509598,0.9488333333333333,0.4995636998254799,0.9488333333333333,0.25564972559611004,69617.86666666667,2137130.6666666665,8165.0,2214913.533333333
scenario3_1000_early_0.05,tfidfvectorizer,0.9458333333333333,0.49973684210526315,0.9721147058933508,0.9458333333333333,0.4860573529466754,0.9200351649076823,0.9463079526226734,0.9458333333333333,0.4731539763113367,0.8956958883248732,0.9994736842105263,0.9458333333333333,0.49973684210526315,0.9458333333333333,0.26926688353220624,69612.93333333333,2136161.066666667,8165.0,2213939.0
scenario3_1000_early_0.05,tokenreplay,0.9585,0.5789977152477152,0.9786064004605531,0.9585,0.6194181207128444,0.9433547486814301,0.9581740126996738,0.9585,0.8957536730165034,0.9538618310413697,1.0,0.9585,0.5789977152477152,0.9585,0.2440576950709025,69618.66666666667,216136.0,8165.0,293919.6666666667
scenario3_1000_early_0.05,word2vec,0.9539999999999996,0.5,0.9764248119142939,0.9539999999999996,0.48821240595714693,0.9315751880857057,0.9539999999999996,0.9539999999999996,0.4769999999999998,0.9102416666666666,1.0,0.9539999999999996,0.5,0.9539999999999996,0.32313843568166095,69589.46666666666,3288912.0,8165.0,3366666.466666667
scenario3_1000_early_0.15,alignment,0.8126666666666666,0.5429569572739693,0.8936483666978036,0.8126666666666666,0.545978186377797,0.7923694171294166,0.8656785713551798,0.8126666666666666,0.5718059699843944,0.7807232260193683,0.9241534269410031,0.8126666666666666,0.5429569572739693,0.8126666666666666,0.2708656628926595,69619.33333333333,256101.33333333334,8165.0,333885.6666666667
scenario3_1000_early_0.15,countvectorizer,0.8438333333333333,0.49896647907643715,0.9150310205747789,0.8438333333333333,0.46673436615491454,0.7835135782294319,0.8528882215041761,0.8438333333333333,0.47107374038171757,0.7411856560562832,0.9873443738976235,0.8438333333333333,0.49896647907643715,0.8438333333333333,0.2658520778020223,69619.73333333334,2136579.2,8165.0,2214363.933333333
scenario3_1000_early_0.15,fasttext,0.8413333333333333,0.49450983073899757,0.9135785566463167,0.8413333333333333,0.460224417896229,0.7809137664712936,0.8520155766133972,0.8413333333333333,0.44045223275114304,0.7313457927725268,0.9851113475696812,0.8413333333333333,0.49450983073899757,0.8413333333333333,0.3008009910583496,69620.93333333333,1688793.6,8165.0,1766579.5333333334
scenario3_1000_early_0.15,hashvectorizer,0.8459999999999999,0.49793087938856906,0.9162715641472151,0.8459999999999999,0.4643012332390588,0.7854464420520163,0.8544542303765029,0.8459999999999999,0.4501900781512144,0.7379517457518259,0.9883609187029129,0.8459999999999999,0.49793087938856906,0.8459999999999999,0.27825220425923664,69621.06666666667,4183866.6666666665,8165.0,4261652.733333333
scenario3_1000_early_0.15,node2vec,0.8431666666666665,0.4976816731190184,0.9145280565485502,0.8431666666666665,0.46617040935880977,0.7848582187564105,0.8545520458223479,0.8431666666666665,0.45991491180006283,0.7402743444593248,0.9842900199085298,0.8431666666666665,0.4976816731190184,0.8431666666666665,0.3484554688135783,69618.26666666666,4184968.533333333,8165.0,4262751.8
scenario3_1000_early_0.15,node2vecedges,0.8873333333333334,0.6400553962843999,0.9374234177327055,0.8873333333333334,0.6803186344070944,0.8622523326435708,0.8905769773867651,0.8873333333333334,0.861016395046289,0.8835327256076274,0.9899152163239696,0.8873333333333334,0.6400553962843999,0.8873333333333334,0.47893468538920086,69615.86666666667,4184174.933333333,8165.0,4261955.8
scenario3_1000_early_0.15,onehot,0.8403333333333332,0.49726115751923755,0.9129733510337544,0.8403333333333332,0.46321108536628713,0.7787635699221293,0.8498139427203547,0.8403333333333332,0.4548143787675848,0.7326363201247832,0.9867063472405201,0.8403333333333332,0.49726115751923755,0.8403333333333332,0.2636568625768026,69621.2,2135349.3333333335,8165.0,2213135.533333333
scenario3_1000_early_0.15,tfidfvectorizer,0.8413333333333333,0.4963780193425897,0.913515621247141,0.8413333333333333,0.46156694908096474,0.779372354003543,0.850216336146082,0.8413333333333333,0.45260816807304105,0.7327780111450627,0.9874122706111482,0.8413333333333333,0.4963780193425897,0.8413333333333333,0.28056228160858154,69613.86666666667,2137003.7333333334,8165.0,2214782.6
scenario3_1000_early_0.15,tokenreplay,0.8608333333333333,0.5317254095272315,0.9242674884711682,0.8608333333333333,0.520289020407164,0.804828396318408,0.8594054288108076,0.8608333333333333,0.829702714405404,0.855605739289328,1.0,0.8608333333333333,0.5317254095272315,0.8608333333333333,0.2784790754318237,69610.26666666666,216136.0,8165.0,293911.26666666666
scenario3_1000_early_0.15,word2vec,0.8404999999999999,0.49816907910646513,0.9130193843023441,0.8404999999999999,0.4637644323716967,0.7782426036163284,0.8492953535222526,0.8404999999999999,0.45596381432726385,0.731190663053206,0.9876919473535195,0.8404999999999999,0.49816907910646513,0.8404999999999999,0.3498900334040324,69590.53333333334,3288260.2666666666,8165.0,3366015.8
scenario3_1000_insert_0.1,alignment,0.9255000000000003,0.709588335879033,0.9592324868362175,0.9255000000000003,0.7548339580208056,0.9157986206340442,0.935740657479008,0.9255000000000003,0.8524296963871069,0.9186005489429979,0.9841074032638472,0.9255000000000003,0.709588335879033,0.9255000000000003,0.2705118735631307,69616.73333333334,256100.26666666666,8166.0,333883.0
scenario3_1000_insert_0.1,countvectorizer,0.8986666666666667,0.5,0.946552213818815,0.8986666666666667,0.4732761069094075,0.8507811195145188,0.8986666666666667,0.8986666666666667,0.44933333333333336,0.8078666666666666,1.0,0.8986666666666667,0.5,0.8986666666666667,0.2876004695892334,69622.06666666667,7543613.866666666,8166.0,7621401.933333334
scenario3_1000_insert_0.1,fasttext,0.9983333333333335,0.9920238191089641,0.9990696155767343,0.9983333333333335,0.9954239811783986,0.998311179601586,0.9981454212881952,0.9983333333333335,0.9990727106440974,0.998344437728724,1.0,0.9983333333333335,0.9920238191089641,0.9983333333333335,0.28542702992757163,69613.26666666666,1689237.3333333333,8166.0,1767016.6
scenario3_1000_insert_0.1,hashvectorizer,0.9413333333333332,0.7394293643794506,0.9680027654086201,0.9413333333333332,0.8031077213744342,0.93075010091071,0.9382039523182876,0.9413333333333332,0.9691019761591435,0.9453588087834194,1.0,0.9413333333333332,0.7394293643794506,0.9413333333333332,0.278618311882019,69628.6,4184219.7333333334,8166.0,4262014.333333333
scenario3_1000_insert_0.1,node2vec,0.9958333333333332,0.9798737540024047,0.9976772179521443,0.9958333333333332,0.9883247237219724,0.9957529155277679,0.9953765747605794,0.9958333333333332,0.99768828738029,0.9958730493554664,1.0,0.9958333333333332,0.9798737540024047,0.9958333333333332,0.3124149163564046,69618.33333333333,4185047.466666667,8166.0,4262831.8
scenario3_1000_insert_0.1,node2vecedges,0.9693333333333332,0.859253322602722,0.9830879393256403,0.9693333333333332,0.9073364555831761,0.9669293899398785,0.9675003114300069,0.9693333333333332,0.9797523343642411,0.9702263297812107,0.9992548628348706,0.9693333333333332,0.859253322602722,0.9693333333333332,0.42246036529541015,69623.66666666667,4184241.066666667,8166.0,4262030.733333333
scenario3_1000_insert_0.1,onehot,0.8911666666666668,0.5,0.9423085273315744,0.8911666666666668,0.4711542636657872,0.8400248060017591,0.8911666666666668,0.8911666666666668,0.4455833333333334,0.7946558333333332,1.0,0.8911666666666668,0.5,0.8911666666666668,0.28529589970906577,69615.4,7543350.4,8166.0,7621131.8
scenario3_1000_insert_0.1,tfidfvectorizer,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2470381259918213,69614.86666666667,7544947.2,8166.0,7622728.066666666
scenario3_1000_insert_0.1,tokenreplay,0.9323333333333333,0.7344604813385913,0.9628694748669485,0.9323333333333333,0.7835694105290792,0.9241235667129923,0.9396558637432263,0.9323333333333333,0.889456186538231,0.9297318950636265,0.9874812140681869,0.9323333333333333,0.7344604813385913,0.9323333333333333,0.26168103218078614,69626.6,216136.0,8166.0,293928.6
scenario3_1000_insert_0.1,word2vec,0.9638333333333333,0.8513997360821239,0.9798428699919807,0.9638333333333333,0.9002245424070076,0.9607376255988568,0.9611234578091548,0.9638333333333333,0.977930149957209,0.9654162453207528,0.9994475138121548,0.9638333333333333,0.8513997360821239,0.9638333333333333,0.42197450002034503,69589.26666666666,3288155.7333333334,8166.0,3365911.0
scenario3_1000_insert_0.2,alignment,0.8475,0.667787248065315,0.910776048068252,0.8475,0.6897601254753881,0.8340724629849281,0.8800975018161946,0.8475,0.7406814653805334,0.8329761437675812,0.9442292196399034,0.8475,0.667787248065315,0.8475,0.27236551443735757,69625.26666666666,256102.4,8166.0,333893.6666666667
scenario3_1000_insert_0.2,countvectorizer,0.8028333333333334,0.5,0.89038926181884,0.8028333333333334,0.44519463090942,0.7152774048478265,0.8028333333333334,0.8028333333333334,0.4014166666666667,0.6452591666666667,1.0,0.8028333333333334,0.5,0.8028333333333334,0.3216446876525879,72448.2,11223396.266666668,8166.0,11304010.466666667
scenario3_1000_insert_0.2,fasttext,0.9976666666666667,0.993542067915419,0.9985757843779691,0.9976666666666667,0.9959797082855822,0.9976443823572582,0.9971663244871097,0.9976666666666667,0.9985831622435549,0.9976908766893361,1.0,0.9976666666666667,0.993542067915419,0.9976666666666667,0.28504151503245034,69615.26666666666,1688727.4666666666,8166.0,1766508.7333333334
scenario3_1000_insert_0.2,hashvectorizer,0.9375,0.8407399287000683,0.9625583640887415,0.9375,0.885213101072857,0.932425076886444,0.9283394850656495,0.9375,0.9630944737156203,0.942091023379686,0.99958071278826,0.9375,0.8407399287000683,0.9375,0.2891305685043335,69615.8,4183982.933333333,8166.0,4261764.733333333
